word1,op1,word2,op2,word3,skipgram_ns_word,skipgram_hs_word,cbow_ns_word,cbow_hs_word
feed,+,consultant,-,williamson,check,pretext,pose,delivers
perkins,+,schoolhouse,-,booking,carole,carmichael,raines,iphigénie
sorcerers,+,yahagi,-,greenberg,warheads,slots,nobodies,expertise
presbyterians,+,mortgage,-,continuance,militaries,fignon,maidens,allusion
defender,+,preschool,-,hova,prospects,courting,pew,unclaimed
kendal,+,todesbanden,-,ecosoc,amamiya,anticonvulsant,doubleday,1203
chairperson,+,passport,-,reubens,neutrality,tactician,assembles,cappella
yaltanack,+,hein,-,catapulted,émigré,sauganash,chino,applause
adidas,+,itzá,-,injunction,plainfield,estación,nitric,millibars
crane,+,owe,-,nightstick,tolerate,seem,ligation,maintain
divisions,+,valentin,-,unfounded,demi,demi,ammiraglio,brigades
cancellation,+,bhagavata,-,majority,gasketball,villas,gwyneth,silvereye
sheringham,+,andrás,-,broomloan,bannister,violinist,syco,norriss
weeds,+,overseen,-,degenerate,ridiculed,unscrupulous,secundus,overwhelmed
chrysanthemum,+,chapels,-,fastest,pubs,slaughtered,norcross,gunner
tunbridge,+,stille,-,ungulate,brill,ogden,ranulf,rosemond
sanctioning,+,chuckle,-,inconsistency,ration,acceptor,decimating,robber
halle,+,stipulates,-,progression,roswell,infogrames,inveresk,shears
pittsford,+,acadian,-,picturesque,limerick,ceylon,kesteven,liberum
kuldahar,+,jūjutsu,-,amphicoelias,aix,asti,nadzab,broadheath
curricular,+,erin,-,hiffernan,esque,salim,fertilised,amprofon
autovista,+,bambaataa,-,irrelevant,mc,mc,806,pythagoras
institutional,+,bold,-,unplanned,computational,linguistic,una,storytelling
antonius,+,nuba,-,nonintercourse,michał,über,nad,demeaning
romulans,+,actors,-,alexandrescu,actresses,medallions,cataloguing,hammers
numerically,+,windermere,-,serotonin,outposts,paraguayan,rediscovering,commemorating
bodkin,+,homotopic,-,street,rarick,canseco,patrician,jodhpur
containing,+,overthrow,-,elizondo,relating,nullify,epidermal,concerning
specialising,+,geese,-,goulian,andhra,australasia,kalinga,perpetuity
ashworth,+,rome,-,vatlestraumen,sylvia,alphonse,reformer,anyone
lamellerie,+,precipices,-,sternorrhyncha,villaret,tubman,fouts,parineeta
unrecorded,+,levin,-,577,championed,hypocritical,powys,derrick
liliaceae,+,subservient,-,weybridge,complementary,homologous,feillu,mccully
considerable,+,calibrated,-,mycorrhizal,tremendous,risen,bailout,rapid
300th,+,josipović,-,florentine,challinor,ipl,reissued,sire
gresham,+,password,-,breimeier,keyblade,changeup,contradicts,attendant
homelessness,+,obligation,-,fps,unwillingness,promises,compensating,libretti
millions,+,widescreen,-,fantastic,kuna,approximately,discontinuation,fortriu
dreadnoughts,+,gorari,-,unintelligible,sabres,ritz,krugerrand,executions
treating,+,classes,-,through,profession,groupings,aluminium,enrolling
inquieto,+,atr,-,miscarriage,mazar,koo,manna,atwood
piquet,+,fronts,-,clams,robberies,railroads,shipment,fallacy
erratic,+,praetor,-,neurons,sickly,orphan,virchow,sailboat
wbo,+,kagoshima,-,trofeo,evesham,vimy,fortriu,oliwa
auctions,+,uvular,-,naegle,1303,1755,mazar,theatres
mach,+,rodrigues,-,bacchus,meuse,mya,tag,ser
doha,+,harold,-,wickford,allan,elias,bibliographic,yd
covenant,+,iau,-,access,wretched,slogan,fiend,mannerisms
cheering,+,shrinks,-,moisture,organises,kissed,turboprop,geography
forfeit,+,maasai,-,aborigines,cny,save,strapped,moitra
xavier,+,admirable,-,glaciated,illustrator,maharaj,lame,wrinkles
027,+,hanukkah,-,offshore,kwon,breeches,changa,lovin
commandos,+,occupancy,-,canopies,ferrying,shipping,booths,organizers
disposal,+,wackett,-,antonio,usair,leadership,fresno,conclusion
bears,+,wwf,-,deluxe,tigers,browns,bolstered,jtwc
elma,+,hissing,-,konstanty,permafrost,evaporation,usurpation,bullets
'huez,+,symmetry,-,meningococcal,homomorphism,sap,pauahi,affidavit
1885,+,large,-,goldberg,small,small,skirmishes,specializing
colborne,+,dettori,-,warblers,schoolcraft,armijn,masayoshi,clandestinely
ppm,+,absurdity,-,equalling,atmospheres,gags,ibotenic,conduction
assessors,+,nearly,-,gamefaqs,almost,approximately,853,consecutive
dickey,+,koror,-,panel,norreys,1158,1375,mankato
scrubs,+,besides,-,britton,conversely,underscoring,subplots,anew
montrose,+,definite,-,guilford,positional,genuine,opportunist,gesture
appendicitis,+,corporate,-,hylogyne,banking,junagadh,canso,culinary
haider,+,decrypted,-,coordination,seb,cp,caulfield,cadel
michelena,+,marbury,-,zola,woodhouse,mockingly,openers,reassignment
hybridise,+,malaysia,-,processors,kashmir,buden,unsubstantiated,gallo
immensely,+,pariah,-,sửu,enduringly,satisfying,effortless,sponge
limits,+,anand,-,sedna,semifinals,loyalsock,searchlight,iwo
lordship,+,conservator,-,manley,reassessment,severity,hackney,scarcity
episcopalians,+,motomu,-,crystarium,geraint,kidnaps,makk,stolar
rianz,+,rao,-,marina,sundwall,vicky,scholes,operationally
protostars,+,unionist,-,bowel,honoree,vettor,billboard,congo
permitted,+,tubing,-,ruhlmann,rotated,fixed,inadvertent,westland
injuring,+,scourge,-,balcatta,raping,insecurities,juicy,invention
brian,+,identically,-,centred,darryl,erin,fowl,kevin
1806,+,bessin,-,parkway,111cs,111cs,richelieu,1790
chitinozoans,+,fables,-,velar,weaknesses,taxa,qs,inventions
introductions,+,strove,-,injuring,sanction,hellmouth,intending,substituting
duchies,+,indentured,-,valiente,ununtrium,akomish,trajectories,interludes
kernels,+,nationalities,-,prosecutor,hydroxides,predators,copious,billions
puebla,+,herefordshire,-,huron,luckett,spite,huế,nicaea
cantonment,+,specimens,-,sitwell,ecosystems,uplands,clinched,textual
enthralled,+,liverworts,-,stempel,infest,startled,potts,regulated
damages,+,cranborne,-,reviewers,1035,504,underwear,1804
ultratip,+,industrialists,-,wrap,bohol,remixes,bærum,snowshoe
brookshier,+,duirinish,-,sensations,sudbury,gouverneur,norrbotten,ames
caracalla,+,teepee,-,smoked,ousting,sahure,niobrara,zhao
balk,+,ashcroft,-,varies,finlay,tyson,rinzler,chakra
obscures,+,pedestrianised,-,bottomed,lakefront,statues,gospels,principled
paris,+,miner,-,internationals,prairie,fountain,indignation,united
727,+,regenerate,-,komintern,colonize,float,catalpa,cézanne
lucid,+,passover,-,improvements,stew,strut,touted,stunningly
ctr,+,intermediate,-,lustful,rafale,frontage,batavian,lobes
duffy,+,undertail,-,trackers,satin,tee,992,iapt
nematodes,+,corset,-,indenture,hairlike,formless,entrées,install
finial,+,victorino,-,systematically,cornet,sermon,rothwell,oration
laced,+,menagerie,-,isagoras,distinctively,palimpsest,dogma,consults
sympathy,+,omnivore,-,maltese,truths,excuse,honed,admission
hermaphroditus,+,pyotr,-,wattlebird,reshen,sinha,fluctuate,maratha
breweries,+,mechanics,-,limp,technology,abundances,overdubs,orbits
biblical,+,kakai,-,1370,atheistic,harmonic,taurus,excitedly
erika,+,gui,-,antsirabe,laurie,constantin,ha,882
connelly,+,mirren,-,landon,clowes,farnese,nuneaton,r1
ponytail,+,dressed,-,socialise,wig,freddy,retrospect,vagrant
bcci,+,makira,-,530,senkele,mortuary,mantellodon,concealed
innis,+,checkpoints,-,assassination,commodity,implying,deduces,likewise
sil,+,blasters,-,without,greenwald,gamasutra,tupac,quorra
derive,+,morels,-,shinji,originate,satisfy,tribeca,emerge
closeness,+,suing,-,fundamentalist,tenacity,appealed,perpetuated,uncomplicated
1939,+,marginalized,-,inciting,1891,1940,floats,1944
refreshments,+,camera,-,accordance,polishing,interface,cantors,minefield
phoebe,+,gaffe,-,sightings,lina,magician,twig,ploy
keiko,+,hatching,-,midway,raisins,ciccone,bellona,cereals
calibur,+,mb,-,monsignor,mg,kilometres,recessional,sesame
routings,+,flatter,-,neutralised,eclecticism,listeners,hips,amputation
classed,+,1011,-,inns,denoted,kj,suficiente,classified
fridtjof,+,radiant,-,yokohama,satirizes,laments,enchanting,propel
caxton,+,funnel,-,951,foremast,stowaway,orphanage,lich
landscaping,+,impractical,-,christakis,easier,upgrades,danaé,outcome
stew,+,ohm,-,rzeczypospolitej,fourths,scrum,complementary,plucked
revisiting,+,frithjof,-,disadvantages,thérèse,kemp,laughable,projected
1819,+,abagnale,-,mutis,1781,canaan,mcs,fritsch
beaubien,+,entwistle,-,luttrell,vries,sakamichi,discreetly,ledges
mating,+,dara,-,cohorts,rainy,pimlico,soundcloud,henin
monologue,+,339,-,ro,613,505,matsui,hydroxides
circular,+,northeasterly,-,welded,trunkline,southeasterly,inserting,qantas
u1,+,payroll,-,newlands,escudos,cumulatively,fulmars,overrode
nothing,+,barbeyella,-,semilanceata,anything,trippy,octavarium,bids
mohareb,+,correctness,-,christmastime,wrangling,prosecutions,ipo,acceleration
horseman,+,hemorrhoid,-,shediac,humanistic,artifact,postmortem,windfall
affable,+,synoptic,-,grievance,com,referencing,1575,glockenspiel
ragnaill,+,access,-,1195,reroute,narcotics,spc,markedly
archival,+,admit,-,pastry,disclose,discuss,plead,retain
general,+,bohemians,-,litigation,osten,oberstleutnant,moncoutié,raise
hairline,+,theorists,-,bolting,assertions,notwithstanding,pylons,friendship
gaffney,+,sawston,-,spouses,lutz,greenleaf,677,.500
purports,+,jodhpur,-,ittf,corpuscles,zira,curd,bananas
canning,+,theorems,-,hiryū,berardinelli,pitchfork,mccarroll,nme
wilmington,+,lento,-,bedding,greenville,gainesville,alphabetical,anticipation
coup,+,oneself,-,labrador,feat,feat,compromise,pickup
bannerman,+,pickard,-,postural,heywood,obersturmbannführer,sunkara,exemption
ultimania,+,clifton,-,rationalist,beaumont,bahrain,légion,berates
kawkawlin,+,camaraderie,-,spitalfields,snohomish,immigrate,selkirk,impermeable
maeonius,+,eau,-,optimize,ranadev,sunflowers,twee,rockman
restless,+,binh,-,greenwood,meningitis,preventing,crawling,tendency
base,+,burj,-,virgin,4c,purposed,kicked,fulton
a8,+,establishments,-,k.r.i.t,subdivisions,municipalities,unveiling,limelight
catesby,+,circumnavigating,-,a.d.,câmpineanu,tutoring,parthenogenesis,debts
cob,+,asthma,-,jovial,overcrowding,maastricht,nots,distracting
hasten,+,aldean,-,culminates,raglan,garner,elicit,halved
incompetence,+,perplexed,-,challenger,shōnagon,brushwood,hildebrand,tehran
ridicules,+,j.h,-,crawford,satirizes,thumbs,thorwald,hinomaru
stallion,+,madagascar,-,gilding,guam,breeze,descend,tornado
propel,+,snares,-,marck,manipulate,conceive,compliant,pushes
ew,+,metaphorical,-,congeners,mak,'angelo,1298,ico
pardoned,+,unethical,-,unexpectedly,ranna,flattering,darwish,requisitioned
subsp,+,feng,-,hsls,var,edna,dogmatic,moderately
bofors,+,experiments,-,reactions,launcher,oerlikon,abusive,hilarious
sheltering,+,nothofagus,-,vickers,maghreb,subfamily,1696,kiviõli
dot,+,bungie,-,ms,roddenberry,motivation,baauer,birthdate
ccf,+,jainism,-,geese,baptism,timeline,nanking,murdishaw
regionally,+,echmarcach,-,1695,taxa,imply,implored,hinoue
pinkerton,+,beliefs,-,fluctuating,ideology,ambitions,unpaved,juxtaposing
1203,+,maugham,-,arboreal,johnstone,plymouth,1568,stepchildren
piazzi,+,fait,-,prevented,wasser,sei,mitzvah,damnation
a.k.a,+,shrunk,-,copernican,shaggy,spacey,manu,ton
na,+,tonnage,-,şi,depth,thicknesses,catalyst,teasing
walternate,+,rubi,-,olden,hearted,savvy,streaked,ghazi
750,+,listings,-,french,245,321,imp,shp
cerebralis,+,pillar,-,gracefully,thrush,triumphal,depository,aelleni
lalich,+,d3as,-,priceless,albacores,airstrikes,supernumeraries,chloroplast
vc,+,freshly,-,bargaining,masoandro,konakis,uncles,transepts
gazebo,+,payroll,-,nandi,resistivity,kickstarter,episcopalian,lifestyle
chiapas,+,excite,-,adonis,unify,flourish,canopies,interrogations
comprises,+,defender,-,964,includes,exemplifies,ds9,meager
transform,+,insofar,-,installments,classify,classify,macromolecules,referred
rotary,+,executes,-,stepped,jacobian,corporate,2400,caab
unpainted,+,kitsu,-,dismantling,ile,forte,música,fart
